diane abbott,1
debbie abrahams,1
nigel adams,2
bim afolami,2
adam afriyie,2
nickie aiken,2
peter aldous,2
rushanara ali,1
tahir ali,1
lucy allan,2
rosena allin-khan,1
mike amesbury,1
david amess,2
fleur anderson,1
lee anderson,2
stuart anderson,2
stuart andrew,2
caroline ansell,2
tonia antoniazzi,1
edward argar,2
jon ashworth,1
sarah atherton,2
victoria atkins,2
gareth bacon,2
richard bacon,2
kemi badenoch,2
shaun bailey,2
siobhan baillie,2
duncan baker,2
steven baker,2
harriett baldwin,2
steve barclay,2
hannah bardell,4
paula barker,1
john baron,2
simon baynes,2
margaret beckett,1
apsana begum,1
aaron bell,2
hilary benn,1
scott benton,2
paul beresford,2
jake berry,2
clive betts,1
saqib bhatti,2
mhairi black,4
ian blackford,4
bob blackman,2
kirsty blackman,4
olivia blake,1
paul blomfield,1
crispin blunt,2
peter bone,2
steven bonnar,4
peter bottomley,2
andrew bowie,2
tracy brabin,1
ben bradley,2
karen bradley,2
ben bradshaw,1
graham brady,2
suella braverman,2
kevin brennan,1
jack brereton,2
andrew bridgen,2
steve brine,2
paul bristow,2
sara britcliffe,2
deidre brock,4
james brokenshire,2
alan brown,4
lyn brown,1
nick brown,1
anthony browne,2
fiona bruce,2
chris bryant,1
felicity buchan,2
karen buck,1
robert buckland,2
alex burghart,2
richard burgon,1
conor burns,2
dawn butler,1
rob butler,2
ian byrne,1
liam byrne,1
ruth cadbury,1
alun cairns,2
amy callaghan,4
lisa cameron,4
alan campbell,1
dan carden,1
alistair carmichael,3
andy carter,2
james cartlidge,2
bill cash,2
miriam cates,2
maria caulfield,2
alex chalk,2
wendy chamberlain,3
sarah champion,1
douglas chapman,4
bambos charalambous,1
joanna cherry,4
rehman chishti,2
christopher chope,2
jo churchill,2
feryal clark,1
greg clark,2
simon clarke,2
theo clarke,2
brendan clarke-smith,2
chris clarkson,2
james cleverly,2
geoffrey clifton-brown,2
therese coffey,2
elliot colburn,2
damian collins,2
daisy cooper,3
rosie cooper,1
yvette cooper,1
jeremy corbyn,1
alberto costa,2
robert courts,2
claire coutinho,2
ronnie cowan,4
geoffrey cox,2
neil coyle,1
stephen crabb,2
angela crawley,4
stella creasy,1
virginia crosbie,2
tracey crouch,2
jon cruddas,1
john cryer,1
judith cummins,1
alex cunningham,1
janet daby,1
james daly,2
edward davey,3
wayne david,1
david davies,2
gareth davies,2
geraint davies,1
james davies,2
mims davies,2
philip davies,2
alex davies-jones,1
david davis,2
dehenna davison,2
martyn day,4
marsha de cordova,1
thangam debbonaire,1
tan dhesi,1
caroline dinenage,2
sarah elizabeth dines,2
jonathan djanogly,2
leo docherty,2
martin docherty,4
anneliese dodds,1
michelle donelan,2
dave doogan,4
allan dorans,4
nadine dorries,2
steve double,2
stephen doughty,1
peter dowd,1
oliver dowden,2
jackie doyle-price,2
richard drax,2
jack dromey,1
flick drummond,2
james duddridge,2
rosie duffield,1
david duguid,2
iain duncan smith,2
philip dunne,2
angela eagle,1
maria eagle,1
mark eastwood,2
jonathan edwards,7
ruth edwards,2
clive efford,1
julie elliott,1
michael ellis,2
tobias ellwood,2
chris elmore,1
natalie elphicke,2
florence eshalomi,1
bill esterson,1
george eustice,2
chris evans,1
luke evans,2
nigel evans,2
david evennett,2
ben everitt,2
